fid,event_id,geom_ids,survey_dat,survey_d_1,agents,hosts,symptoms,survey_met,trigger_pr,trigger_se,trigger__1,trigger__2,country,silvicultu,sanitary_i,sanitary_1,sanitary_2,pattern_de,pattern_di,pattern_mo,pattern__1,severity_d,severity_1,severity_m,severity_2,is_affecte,dataset_co,SURVEYSTA
222,19828,41048,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus nigra,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
223,19829,41049,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus nigra,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
224,19830,41050,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus nigra,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
225,19831,41051,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus nigra,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
226,19832,41052,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus nigra,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
227,19833,41053,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus sylvestris,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
228,19834,41054,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus sylvestris,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
229,19835,41055,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus sylvestris,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
230,19836,41056,2012-08-24,+/- 7 days,"Brachyderes sp.,Thaumetopoea pityocampa",Pinus sylvestris,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-contiguous,high-contiguous,high-contiguous,high-contiguous,1.0,1.0,2.0,1.0,1,ES-004,2012-08-24
231,19837,41057,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,2.0,1.0,1,ES-004,2012-08-25
232,19838,41058,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2012-08-25
233,19839,41059,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2012-08-25
234,19840,41060,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2012-08-25
235,19841,41061,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2012-08-25
236,19842,41062,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2012-08-25
237,19843,41063,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2012-08-25
238,19844,41064,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2012-08-25
239,19845,41065,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,2.0,1.0,3.0,2.0,1,ES-004,2012-08-25
240,19846,41066,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2012-08-25
241,19847,41067,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,2.0,1.0,3.0,2.0,1,ES-004,2012-08-25
242,19848,41068,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,2.0,1.0,3.0,2.0,1,ES-004,2012-08-25
243,19849,41069,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,2.0,1.0,3.0,2.0,1,ES-004,2012-08-25
244,19850,41070,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,2.0,1.0,3.0,2.0,1,ES-004,2012-08-25
245,19851,41071,2012-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2012.0,2012.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,2.0,1.0,1,ES-004,2012-08-25
246,19852,41072,2017-08-25,+/- 7 days,,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,0,ES-004,2017-08-25
247,19853,41073,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2017-08-25
248,19854,41074,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,5.0,2.0,1,ES-004,2017-08-25
249,19855,41075,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2017-08-25
250,19856,41076,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2017-08-25
251,19857,41077,2017-08-25,+/- 7 days,,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,0,ES-004,2017-08-25
252,19858,41078,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
253,19859,41079,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
254,19860,41080,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
255,19861,41081,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
256,19862,41082,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
257,19863,41083,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
258,19864,41084,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
259,19865,41085,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
260,19866,41086,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
261,19867,41087,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
262,19868,41088,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
263,19869,41089,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
264,19870,41090,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
265,19871,41091,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,4.0,2.0,1,ES-004,2017-08-25
266,19872,41092,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2017-08-25
267,19873,41093,2017-08-25,+/- 7 days,,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,0,ES-004,2017-08-25
268,19874,41094,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2017-08-25
269,19875,41095,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,low-patchy,,low-patchy,low-patchy,2.0,1.0,5.0,2.0,1,ES-004,2017-08-25
270,19876,41096,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2017-08-25
271,19877,41097,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2017-08-25
272,19878,41098,2017-08-25,+/- 7 days,,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,0,ES-004,2017-08-25
273,19879,41099,2017-08-25,+/- 7 days,Phytophthora ramorum,Quercus ilex,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Drought,Pest/Disease,2017.0,2017.0,Spain,,,,,high-patchy,,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2017-08-25
274,19880,41100,2015-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-06-30
275,19881,41101,2015-08-14,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-14
276,19882,41102,2015-08-14,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-14
277,19883,41103,2015-08-14,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-14
278,19884,41104,2015-08-14,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-14
279,19885,41105,2015-08-14,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-14
280,19886,41106,2015-08-14,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-14
281,19887,41107,2015-08-14,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-14
282,19888,41108,2015-08-27,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-27
283,19889,41109,2015-08-27,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-27
284,19890,41110,2015-08-27,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-27
285,19891,41111,2015-08-27,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-27
286,19892,41112,2015-08-28,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-28
287,19893,41113,2015-08-28,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-28
288,19894,41114,2015-08-28,exact,,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-28
289,19895,41115,2015-08-30,exact,,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
290,19896,41116,2015-08-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
291,19897,41117,2015-08-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
292,19898,41118,2015-08-30,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
293,19899,41119,2015-08-30,exact,"Bursaphelenchus hellenicus,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
294,19900,41120,2015-08-30,exact,,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
295,19901,41121,2015-08-30,exact,Bursaphelenchus minutus,Abies alba,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
296,19902,41122,2015-08-30,exact,Bursaphelenchus minutus,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
297,19903,41123,2015-08-30,exact,Bursaphelenchus minutus,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
298,19904,41124,2015-08-30,exact,Bursaphelenchus minutus,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
299,19905,41125,2015-08-30,exact,Bursaphelenchus minutus,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-08-30
300,19906,41126,2015-09-01,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
301,19907,41127,2015-09-01,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
302,19908,41128,2015-09-01,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
303,19909,41129,2015-09-01,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
304,19910,41130,2015-09-01,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
305,19911,41131,2015-09-01,exact,"Bursaphelenchus fungivorus,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
306,19912,41132,2015-09-01,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
307,19913,41133,2015-09-01,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
308,19914,41134,2015-09-01,exact,Bursaphelenchus minutus,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
309,19915,41135,2015-09-01,exact,Bursaphelenchus minutus,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
310,19916,41136,2015-09-01,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
311,19917,41137,2015-09-01,exact,Bursaphelenchus minutus,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
312,19918,41138,2015-09-01,exact,Bursaphelenchus minutus,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
313,19919,41139,2015-09-01,exact,,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-01
314,19920,41140,2015-09-02,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
315,19921,41141,2015-09-02,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
316,19922,41142,2015-09-02,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
317,19923,41143,2015-09-02,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
318,19924,41144,2015-09-02,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
319,19925,41145,2015-09-02,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
320,19926,41146,2015-09-02,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
321,19927,41147,2015-09-02,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
322,19928,41148,2015-09-02,exact,,Pinus radiata,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
323,19929,41149,2015-09-02,exact,,Pinus sylvestris,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
324,19930,41150,2015-09-02,exact,,Pinus sylvestris,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
325,19931,41151,2015-09-02,exact,,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
326,19932,41152,2015-09-02,exact,Bursaphelenchus minutus,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
327,19933,41153,2015-09-02,exact,,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-02
328,19934,41154,2015-09-03,exact,"Bursaphelenchus leoni,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-03
329,19935,41155,2015-09-03,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-03
330,19936,41156,2015-09-03,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-03
331,19937,41157,2015-09-03,exact,"Bursaphelenchus leoni,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-03
332,19938,41158,2015-09-03,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-03
333,19939,41159,2015-09-03,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-03
334,19940,41160,2015-09-03,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-03
335,19941,41161,2015-09-03,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-03
336,19942,41162,2015-09-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-08
337,19943,41163,2015-09-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-08
338,19944,41164,2015-09-08,exact,"Bursaphelenchus fungivorus,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-08
339,19945,41165,2015-09-08,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-08
340,19946,41166,2015-09-08,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-08
341,19947,41167,2015-09-08,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-08
342,19948,41168,2015-09-08,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-08
343,19949,41169,2015-09-08,exact,,Pinus halepensis,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-08
344,19950,41170,2015-09-10,exact,"Bursaphelenchus leoni,Bursaphelenchus sexdentati",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-10
345,19951,41171,2015-09-10,exact,Bursaphelenchus leoni,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-10
346,19952,41172,2015-09-10,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-10
347,19953,41173,2015-09-10,exact,"Bursaphelenchus leoni,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2015-09-10
